Date:, Height chicago, CO, huntington, gustavus 2007 first bloom
1, 8/3/15, 22.75, 22.75, , 22.852
2, 8/4/15, 23.5, 24, , 24
3, 8/5/15, 25.0, 25.25, , 
4, 8/6/15, 28.0, 27.75, , 27.19
5, 8/7/15, 29.25, 29.75, , 30.73
6, 8/8/15, 31.0, 31.75, , 31.91
7, 8/9/15, 33.0, 33.75, , 35.85
8, 8/10/15, 36.25, 35, , 42.158
9, 8/11/15, 38.0, 34.75, , 44.128
10, 8/12/15, 39.5, 37.25, 39.5, 46.49
11, 8/13/15, 41.0, 42, 41.625, 48.068
12, 8/14/15, 47.0, 45.75, 46, 50.826
13, 8/15/15, 51.25, 49.25, 50.5, 
14, 8/16/15, 54.5, 52.5, 54, 
15, 8/17/15, 58.75, 54.75, 57.25, 57.524
16, 8/18/15, 61.25, 56.75, 60, 
17, 8/19/15, 63.0, 58.25, 62, 
18, 8/20/15, 65.25, 59.75, 63, 61.07
19, 8/21/15, 66, 60.50, 64.5, 
20,        , 67.5, 61.0, 66, 
21,        , 67.75, 61.75, ,
22, ,68 , 62.75, ,
23, , , 63.15, ,